,faithfulness,localization,complexity,randomization,robustness
gradcam,0.21874805243178191,0.23144366489950507,0.16414375124391248,0.30717474480825174,0.004641682214925027
gradcampp,0.2264945740761692,0.23372777979888618,0.09105105876159647,0.2775645887043549,0.002764760254710176
integrated_gradients,0.20522512330345036,0.4413025560138194,0.18988130845419612,0.0497517166158124,0.05016059973690898
saliency,0.20991648901612645,0.41779549615840006,0.2235411031852707,0.02670971985356359,0.05717017658219458
