,faithfulness,localization,complexity,randomization,robustness
gradcam,0.2304837281535747,0.46021490995509223,0.2892432703282719,0.18843361649624854,0.2052573332404228
gradcampp,0.20786113126618366,0.4623108563803542,0.2094918295479326,0.3853358227853691,0.13652020921421942
integrated_gradients,0.17401338488370174,0.47202551701581974,0.2316784580681464,0.05780367132175191,0.019327745742677215
saliency,0.1793246047398692,0.47034028106353454,0.186324190019398,0.03741163047247767,0.13524775446124238
