,faithfulness,localization,complexity,randomization,robustness
gradcam,0.2207230072142897,0.14628788072422527,0.13548289303413708,0.2452700303248331,0.04607258490169532
gradcampp,0.2569628262395438,0.16291896021918373,0.08495889269004067,0.216355897536128,0.04641363353499084
integrated_gradients,0.174268415977592,0.19159819404992093,0.13987755634689814,0.08241358240367777,0.05001140084730544
saliency,0.21783276896048792,0.17120508337040072,0.07174793399558047,0.014534754875022197,0.21896613619138453
