,faithfulness,localization,complexity,randomization,robustness
gradcam,-0.03651723315939307,0.10326697049538294,11.485033845901489,-0.18911906628294425,0.009762115936454695
gradcampp,-0.02492504434660077,0.1038396635055542,11.586907539367676,-0.31115827946594815,0.007119438936895068
integrated_gradients,0.09373437518253923,0.3830212374428908,10.848085260391235,0.11516136480994005,0.3005403188417355
saliency,0.018324829651974142,0.3127542362610499,10.853231039047241,0.1693538799718234,0.26854413296778995
