,faithfulness,localization,complexity,randomization,robustness
gradcam,0.06827949322760105,0.0475343308183882,11.150483703613281,-0.3004614474709665,0.3441007911673058
gradcampp,0.10244807992130518,0.0460576394200325,11.378616046905517,-0.03462335536085555,0.2613871507954014
integrated_gradients,-0.013878592227896055,0.05730555342303382,10.917469533284505,0.30094912410984587,0.9916273575762043
saliency,0.08113024445871513,0.05746644569767846,11.017946147918702,0.09983179095065262,0.9843897918860117
